month,lbd_prev,fbd,effective_from,top1,top2,top3,days,idx_return,mean_abs_resid,te_residual,avg_HHI,avg_Neff,max_drift,turnover,constituent_changes
2020-01,,2020-01-01,,,,,23,-0.034228523038607794,0.00418975035908125,0.005116144675226051,0.0,,0.0,0.0,0
2020-02,2020-01-31,2020-02-03,2020-02-04,Stock_J,Stock_E,Stock_G,20,-0.014051133363300328,0.0004166220681439195,0.0018631905305921239,0.35625,2.6666666666666665,0.014199770089674796,0.5,3
2020-03,2020-02-28,2020-03-02,2020-03-03,Stock_G,Stock_A,Stock_I,22,-0.03376910048864201,1.7284153906096188e-16,2.0250465255157692e-16,0.375,2.6666666666666665,0.01657401695777516,0.75,4
2020-04,2020-03-31,2020-04-01,2020-04-02,Stock_H,Stock_C,Stock_G,22,0.02448357250584432,1.715799219875242e-16,1.9700780169041387e-16,0.375,2.6666666666666665,0.0282807067055742,0.75,4
2020-05,2020-04-30,2020-05-01,2020-05-04,Stock_H,Stock_C,Stock_A,21,-0.022442302852073936,1.4406465438588341e-16,1.7791838412527118e-16,0.375,2.6666666666666665,0.025292935744010647,0.25,2
2020-06,2020-05-29,2020-06-01,2020-06-02,Stock_C,Stock_H,Stock_A,22,-0.029111226584885297,1.0597583416876495e-16,1.4053304293648917e-16,0.375,2.6666666666666665,0.02662514364806373,0.25,0
2020-07,2020-06-30,2020-07-01,2020-07-02,Stock_C,Stock_A,Stock_H,23,0.07165825070277831,1.0619524583371063e-16,1.3863518713876205e-16,0.375,2.6666666666666665,0.01659976370871924,0.0,0
2020-08,2020-07-31,2020-08-03,2020-08-04,Stock_C,Stock_A,Stock_H,21,0.004341603818181383,1.559599010782958e-16,1.969705566193389e-16,0.375,2.6666666666666665,0.014906005998339925,0.0,0
2020-09,2020-08-31,2020-09-01,2020-09-02,Stock_C,Stock_A,Stock_H,22,-0.006471533584757716,1.1102230246251565e-16,1.452705175505574e-16,0.375,2.6666666666666665,0.020543854027348263,0.0,0
2020-10,2020-09-30,2020-10-01,2020-10-02,Stock_C,Stock_H,Stock_A,22,-0.0025172921207907706,1.5391728295939671e-16,1.9626155733547187e-16,0.375,2.6666666666666665,0.020463068960796055,0.0,0
2020-11,2020-10-30,2020-11-02,2020-11-03,Stock_C,Stock_H,Stock_E,21,-0.020315969015342383,1.4009957215507927e-16,1.7921265188708212e-16,0.375,2.6666666666666665,0.01272373082447864,0.25,2
2020-12,2020-11-30,2020-12-01,2020-12-02,Stock_C,Stock_A,Stock_H,23,0.0036243173938284023,1.3998464223534583e-16,1.691729033297613e-16,0.375,2.6666666666666665,0.009699586443786767,0.25,2
